Key,ExitTime,Symbol,EntryPrice,Quantity,Pnl,Date
2020-09-10 10:23:00,2020-09-10 10:46:00,BANKNIFTY10SEP2022400PE,73.60000000000001,-25,1112.5000000000002,2020-09-10
2020-09-11 09:21:00,2020-09-11 09:41:00,NIFTY17SEP2011550PE,149.95,-75,-877.5000000000013,2020-09-11
2020-09-11 10:13:00,2020-09-11 13:10:00,NIFTY17SEP2011500PE,131.45,-75,-1023.7500000000005,2020-09-11
2020-09-14 09:35:00,2020-09-14 10:24:00,NIFTY17SEP2011500CE,96.4,-75,-494.9999999999996,2020-09-14
2020-09-14 11:05:00,2020-09-14 11:31:00,NIFTY17SEP2011550CE,70.35000000000001,-75,-344.99999999999955,2020-09-14
2020-09-14 12:05:00,2020-09-14 14:07:00,NIFTY17SEP2011500CE,106.45,-75,3348.7500000000005,2020-09-14
2020-09-14 09:34:00,2020-09-14 13:30:00,BANKNIFTY17SEP2022500CE,397.8,-25,3660.0,2020-09-14
2020-09-14 11:15:00,2020-09-14 13:10:00,NIFTY17SEP2011600PE,103.25,-75,-633.7500000000002,2020-09-14
2020-09-14 10:37:00,2020-09-14 11:00:00,BANKNIFTY17SEP2022600PE,248.85,-25,-571.2499999999999,2020-09-14
2020-09-14 11:15:00,2020-09-14 12:11:00,BANKNIFTY17SEP2022700PE,307.1,-25,-380.00000000000114,2020-09-14
2020-09-14 12:21:00,2020-09-14 12:24:00,BANKNIFTY17SEP2022700PE,309.05,-25,-404.9999999999997,2020-09-14
2020-09-15 09:57:00,2020-09-15 11:46:00,NIFTY17SEP2011450CE,91.45,-75,-618.75,2020-09-15
2020-09-15 11:55:00,2020-09-15 13:02:00,NIFTY17SEP2011450CE,93.05,-75,-648.7500000000005,2020-09-15
2020-09-15 13:11:00,2020-09-15 14:02:00,NIFTY17SEP2011500CE,53.5,-75,-1286.2500000000005,2020-09-15
2020-09-15 10:03:00,2020-09-15 10:16:00,BANKNIFTY17SEP2022100CE,361.9,-25,-823.7500000000011,2020-09-15
